Cases,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,NEW SETTINGS,,,,,,,,,,,,,
#,Start Day Type,RULE,NEW SETTINGS CODE,Start Holiday,HOL,NSD,OT,,End Day Type,End Holiday,HOL,NSD,OT,
53,Rest Day,applicable_hours,b1,Special,1.5,0.65,1.95,,Rest Day,Special,1.5,0.65,1.95,
54,Rest Day,applicable_hours,b1,Special,1.5,0.65,1.95,,Rest Day,Regular,2.6,1.8,3.38,
55,Rest Day,full_shift,b2,Special,1.5,0.65,1.95,,Workday,None,1.5,0.65,1.95,
56,Rest Day,full_shift,b2,Special,1.5,0.65,1.95,,Workday,Special,1.5,0.65,1.95,
57,Rest Day,full_shift,b2,Special,1.5,0.65,1.95,,Workday,Regular,1.5,0.65,1.95,
58,Rest Day,full_shift,b2,Special,1.5,0.65,1.95,,Rest Day,None,1.5,0.65,1.95,
59,Rest Day,full_shift,b2,Special,1.5,0.65,1.95,,Rest Day,Special,1.5,0.65,1.95,
60,Rest Day,full_shift,b2,Special,1.5,0.65,1.95,,Rest Day,Regular,1.5,0.65,1.95,
61,Rest Day,applicable_hours,b1,Regular,2.6,1.8,3.38,,Workday,None,1,0.1,1.25,
62,Rest Day,applicable_hours,b1,Regular,2.6,1.8,3.38,,Workday,Special,1.3,0.43,1.69,
63,Rest Day,applicable_hours,b1,Regular,2.6,1.8,3.38,,Workday,Regular,2,1.2,2.6,
64,Rest Day,applicable_hours,b1,Regular,2.6,1.8,3.38,,Rest Day,None,1.3,0.43,1.69,
65,Rest Day,applicable_hours,b1,Regular,2.6,1.8,3.38,,Rest Day,Special,1.5,0.65,1.95,
66,Rest Day,applicable_hours,b1,Regular,2.6,1.8,3.38,,Rest Day,Regular,2.6,1.8,3.38,
67,Rest Day,full_shift,b2,Regular,2.6,1.8,3.38,,Workday,None,2.6,1.8,3.38,
68,Rest Day,full_shift,b2,Regular,2.6,1.8,3.38,,Workday,Special,2.6,1.8,3.38,
69,Rest Day,full_shift,b2,Regular,2.6,1.8,3.38,,Workday,Regular,2.6,1.8,3.38,
70,Rest Day,full_shift,b2,Regular,2.6,1.8,3.38,,Rest Day,None,2.6,1.8,3.38,
71,Rest Day,full_shift,b2,Regular,2.6,1.8,3.38,,Rest Day,Special,2.6,1.8,3.38,
72,Rest Day,full_shift,b2,Regular,2.6,1.8,3.38,,Rest Day,Regula,2.6,1.8,3.38,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
